station_id,datetime,total_ports,available_ports,wait_time_min,charging_rate_kw,charger_type,plug_type,city
8,2025-07-06 19:43:40,6,0,23,30.0,DC_FAST,CCS,Mumbai
7,2025-07-10 23:09:40,10,0,53,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-05 08:59:40,6,0,30,12.0,AC_LEVEL1,Type2,Gurugram
4,2025-07-10 13:22:40,12,0,67,28.0,DC_FAST,CHAdeMO,Gurugram
1,2025-07-04 02:18:40,10,0,43,15.0,AC_LEVEL2,Type2,Bangalore
6,2025-07-03 16:05:40,7,0,28,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-09 13:08:40,9,0,46,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-06 02:55:40,10,0,46,14.5,AC_LEVEL2,Type2,Mumbai
6,2025-07-07 13:17:40,7,0,29,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-09 17:33:40,9,0,41,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-05 02:38:40,10,0,42,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-06 08:40:40,6,0,26,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-06 01:23:40,10,0,42,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-07 11:57:40,9,0,37,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-05 19:46:40,6,0,27,30.0,DC_FAST,CCS,Mumbai
1,2025-07-07 22:49:40,10,0,41,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-04 23:31:40,9,0,40,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-05 06:11:40,6,0,29,30.0,DC_FAST,CCS,Mumbai
1,2025-07-10 04:53:40,10,0,45,15.0,AC_LEVEL2,Type2,Bangalore
8,2025-07-06 09:29:40,6,0,22,30.0,DC_FAST,CCS,Mumbai
1,2025-07-09 03:58:40,10,0,43,15.0,AC_LEVEL2,Type2,Bangalore
1,2025-07-04 16:27:40,10,0,43,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-03 19:42:40,9,0,45,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-06 09:21:40,6,0,23,30.0,DC_FAST,CCS,Mumbai
3,2025-07-06 11:54:40,6,0,29,12.0,AC_LEVEL1,Type2,Gurugram
5,2025-07-11 09:02:40,9,0,40,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-08 13:18:40,7,0,24,27.25,DC_FAST,Type2,Hyderabad
3,2025-07-06 18:39:40,6,0,31,12.0,AC_LEVEL1,Type2,Gurugram
2,2025-07-05 12:21:40,8,0,39,25.5,DC_FAST,CCS,Bangalore
4,2025-07-08 08:56:40,12,0,50,28.0,DC_FAST,CHAdeMO,Gurugram
7,2025-07-06 17:39:40,10,0,48,14.5,AC_LEVEL2,Type2,Mumbai
1,2025-07-05 15:04:40,10,0,42,15.0,AC_LEVEL2,Type2,Bangalore
7,2025-07-11 02:43:40,10,0,48,14.5,AC_LEVEL2,Type2,Mumbai
4,2025-07-09 13:19:40,12,0,57,28.0,DC_FAST,CHAdeMO,Gurugram
7,2025-07-08 14:49:40,10,0,35,14.5,AC_LEVEL2,Type2,Mumbai
1,2025-07-04 12:11:40,10,0,46,15.0,AC_LEVEL2,Type2,Bangalore
1,2025-07-06 02:26:40,10,0,47,15.0,AC_LEVEL2,Type2,Bangalore
2,2025-07-04 22:04:40,8,0,35,25.5,DC_FAST,CCS,Bangalore
4,2025-07-06 19:15:40,12,0,46,28.0,DC_FAST,CHAdeMO,Gurugram
3,2025-07-07 05:11:40,6,0,32,12.0,AC_LEVEL1,Type2,Gurugram
6,2025-07-08 01:28:40,7,0,27,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-09 19:08:40,9,0,48,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-05 17:29:40,7,0,31,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-11 05:20:40,9,0,44,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-09 05:06:40,10,0,43,14.5,AC_LEVEL2,Type2,Mumbai
6,2025-07-06 15:39:40,7,0,40,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-06 12:03:40,10,0,49,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-08 16:51:40,9,0,41,16.75,AC_LEVEL2,CCS,Hyderabad
2,2025-07-09 21:38:40,8,0,31,25.5,DC_FAST,CCS,Bangalore
4,2025-07-06 03:56:40,12,0,54,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-03 12:01:40,8,0,48,25.5,DC_FAST,CCS,Bangalore
7,2025-07-04 00:12:40,10,0,41,14.5,AC_LEVEL2,Type2,Mumbai
