station_id,name,address,city,charger_type,total_ports,available_ports,charging_rate_kw,is_active,datetime,wait_time_min
7,Delhi EV Zone - Connaught Place,"Inner Circle, CP, Block D",Delhi,AC_LEVEL_2,4,2,11.0,1,2025-06-25 19:51:20,28
7,Delhi EV Zone - Connaught Place,"Inner Circle, CP, Block D",Delhi,AC_LEVEL_2,4,2,11.0,1,2025-07-08 12:30:20,31
9,Noida EV Station,"Sector 18 Parking, Noida",Delhi,AC_LEVEL_2,4,3,22.0,1,2025-06-12 03:24:20,11
4,SpeedyCharge - Bandra,"BKC Parking Lot, Bandra East",Mumbai,DC_FAST,5,2,120.0,1,2025-07-07 03:05:20,7
5,Hyderabad Charging Point - Hitech City,"Near Cyber Towers, Hitech City",Hyderabad,AC_LEVEL_2,3,0,22.0,1,2025-06-20 09:54:20,9
5,Hyderabad Charging Point - Hitech City,"Near Cyber Towers, Hitech City",Hyderabad,AC_LEVEL_2,3,0,22.0,1,2025-06-13 16:06:20,6
5,Hyderabad Charging Point - Hitech City,"Near Cyber Towers, Hitech City",Hyderabad,AC_LEVEL_2,3,0,22.0,1,2025-06-23 14:38:20,31
9,Noida EV Station,"Sector 18 Parking, Noida",Delhi,AC_LEVEL_2,4,3,22.0,1,2025-06-19 12:00:20,26
0,EV Power Hub - Koramangala,"No. 45, 80 Feet Rd, Koramangala",Bangalore,AC_LEVEL_2,4,2,22.0,1,2025-07-07 00:30:20,6
9,Noida EV Station,"Sector 18 Parking, Noida",Delhi,AC_LEVEL_2,4,3,22.0,1,2025-06-25 22:58:20,15
7,Delhi EV Zone - Connaught Place,"Inner Circle, CP, Block D",Delhi,AC_LEVEL_2,4,2,11.0,1,2025-06-11 09:21:20,5
2,Tesla Supercharger - MG Road,"Garuda Mall Parking, MG Road",Bangalore,TESLA_SUPERCHARGER,8,5,250.0,1,2025-06-18 23:02:20,13
9,Noida EV Station,"Sector 18 Parking, Noida",Delhi,AC_LEVEL_2,4,3,22.0,1,2025-06-18 13:58:20,16
1,SuperCharge Central - Whitefield,"Tech Park Rd, Whitefield",Bangalore,DC_FAST,6,3,150.0,1,2025-06-23 10:05:20,10
3,Mumbai EV Station - Andheri,"Near Infinity Mall, Andheri West",Mumbai,AC_LEVEL_2,4,1,11.0,1,2025-06-29 22:41:20,30
2,Tesla Supercharger - MG Road,"Garuda Mall Parking, MG Road",Bangalore,TESLA_SUPERCHARGER,8,5,250.0,1,2025-06-21 06:04:20,32
6,EV Express - Gachibowli,"Gachibowli Circle, Near Stadium",Hyderabad,DC_FAST,6,4,180.0,1,2025-07-02 11:11:20,16
2,Tesla Supercharger - MG Road,"Garuda Mall Parking, MG Road",Bangalore,TESLA_SUPERCHARGER,8,5,250.0,1,2025-06-28 15:48:20,35
8,TurboCharge - Gurgaon,"Cyber Hub Parking, Gurgaon",Delhi,DC_FAST,8,6,200.0,1,2025-06-25 02:07:20,6
8,TurboCharge - Gurgaon,"Cyber Hub Parking, Gurgaon",Delhi,DC_FAST,8,6,200.0,1,2025-07-05 09:19:20,12
9,Noida EV Station,"Sector 18 Parking, Noida",Delhi,AC_LEVEL_2,4,3,22.0,1,2025-06-16 12:05:20,22
3,Mumbai EV Station - Andheri,"Near Infinity Mall, Andheri West",Mumbai,AC_LEVEL_2,4,1,11.0,1,2025-06-15 06:17:20,11
9,Noida EV Station,"Sector 18 Parking, Noida",Delhi,AC_LEVEL_2,4,3,22.0,1,2025-07-03 16:33:20,14
8,TurboCharge - Gurgaon,"Cyber Hub Parking, Gurgaon",Delhi,DC_FAST,8,6,200.0,1,2025-06-30 00:46:20,5
3,Mumbai EV Station - Andheri,"Near Infinity Mall, Andheri West",Mumbai,AC_LEVEL_2,4,1,11.0,1,2025-07-07 16:16:20,18
3,Mumbai EV Station - Andheri,"Near Infinity Mall, Andheri West",Mumbai,AC_LEVEL_2,4,1,11.0,1,2025-06-11 14:19:20,16
7,Delhi EV Zone - Connaught Place,"Inner Circle, CP, Block D",Delhi,AC_LEVEL_2,4,2,11.0,1,2025-06-26 16:36:20,9
8,TurboCharge - Gurgaon,"Cyber Hub Parking, Gurgaon",Delhi,DC_FAST,8,6,200.0,1,2025-06-20 19:11:20,29
6,EV Express - Gachibowli,"Gachibowli Circle, Near Stadium",Hyderabad,DC_FAST,6,4,180.0,1,2025-07-09 09:33:20,5
4,SpeedyCharge - Bandra,"BKC Parking Lot, Bandra East",Mumbai,DC_FAST,5,2,120.0,1,2025-06-17 09:08:20,12
1,SuperCharge Central - Whitefield,"Tech Park Rd, Whitefield",Bangalore,DC_FAST,6,3,150.0,1,2025-06-21 09:59:20,22
2,Tesla Supercharger - MG Road,"Garuda Mall Parking, MG Road",Bangalore,TESLA_SUPERCHARGER,8,5,250.0,1,2025-06-26 01:55:20,18
8,TurboCharge - Gurgaon,"Cyber Hub Parking, Gurgaon",Delhi,DC_FAST,8,6,200.0,1,2025-07-05 18:00:20,45
0,EV Power Hub - Koramangala,"No. 45, 80 Feet Rd, Koramangala",Bangalore,AC_LEVEL_2,4,2,22.0,1,2025-06-13 14:56:20,17
4,SpeedyCharge - Bandra,"BKC Parking Lot, Bandra East",Mumbai,DC_FAST,5,2,120.0,1,2025-06-16 00:39:20,10
6,EV Express - Gachibowli,"Gachibowli Circle, Near Stadium",Hyderabad,DC_FAST,6,4,180.0,1,2025-06-11 11:02:20,19
1,SuperCharge Central - Whitefield,"Tech Park Rd, Whitefield",Bangalore,DC_FAST,6,3,150.0,1,2025-06-27 16:44:20,19
7,Delhi EV Zone - Connaught Place,"Inner Circle, CP, Block D",Delhi,AC_LEVEL_2,4,2,11.0,1,2025-07-07 07:03:20,10
